4/15/2019 7:09:58 PM	The file contains time data of each successful point movement 
The time is using Unity real time.
-------------------------------------------------
FrameNumber	StartTime	GazeTime	AimTime	GazeDuration	AimDuration	DistanceToOrigin
11046	152.4613	0	153.3319	0	0.870575	2
11390	156.6085	NaN	157.398	NaN	0.789505	2.5
11623	159.3413	NaN	160.2132	NaN	0.8718872	2.5
11802	162.1226	162.4266	162.7707	0.3039551	0.6481018	1.5
11977	164.7255	165.1919	165.2833	0.4664612	0.5578156	1.5
12148	167.1496	NaN	167.8198	NaN	0.6701355	2.5
12354	169.7182	170.1224	170.3089	0.4041748	0.5906219	1.5
12565	172.1633	172.4908	172.914	0.3275909	0.7507324	2
12846	175.7065	176.1641	176.2854	0.4575348	0.5788879	2.5
13023	178.2301	NaN	178.8232	NaN	0.5930939	2.5
13275	181.1006	NaN	181.8478	NaN	0.7472076	2
13446	183.6609	184.0397	184.3396	0.3788147	0.6786957	2
13637	186.2293	NaN	186.9304	NaN	0.7010803	1.5
13799	188.73	189.0479	189.3772	0.3178711	0.647171	2
14012	191.2561	191.6596	191.9791	0.4034882	0.7230072	1.5
14222	193.8241	NaN	194.5036	NaN	0.6795197	2
14430	196.3924	196.7056	196.9951	0.3132019	0.6027374	1.5
14629	198.7504	NaN	199.4294	NaN	0.6790619	1.5
14793	201.239	201.5582	201.7866	0.3191833	0.5475769	2
14967	203.6528	NaN	204.3006	NaN	0.6477509	2.5
18651	249.8055	250.1452	250.4868	0.3397064	0.6812744	1.5
18854	252.2426	252.6554	252.9592	0.4128418	0.7165985	2.5
19075	255.0555	255.3855	255.727	0.3300629	0.6715088	1.5
19270	257.838	258.2336	258.5739	0.3955383	0.7359009	2.5
19464	260.4285	260.7607	261.0647	0.3321838	0.6362	2
19624	262.8427	263.1975	263.4319	0.3548584	0.5892639	2
19820	265.243	NaN	265.8679	NaN	0.6248779	2
20018	267.6937	268.0435	268.3368	0.3497925	0.6430969	2
20200	270.091	270.3902	270.6954	0.2991943	0.6044006	2
20397	272.7978	273.1337	273.4182	0.335907	0.6203613	2.5
20597	275.1758	NaN	275.8544	NaN	0.6786804	2
20807	277.6748	NaN	278.3443	NaN	0.6694641	1.5
20975	280.1555	280.5403	280.7354	0.3848267	0.579895	1.5
21127	282.5128	282.9485	283.1028	0.4356995	0.5900269	2
21299	284.9024	285.2585	285.507	0.3561096	0.6046143	2.5
21438	287.2936	NaN	287.7755	NaN	0.4819031	2
21630	289.7048	290.0593	290.2422	0.3544617	0.5374146	2
21828	292.1395	292.448	292.71	0.3084412	0.5704346	1.5
22026	294.5307	NaN	295.1151	NaN	0.5844421	1.5
22222	296.9767	297.3087	297.5488	0.3320007	0.5720825	1.5
22420	299.3226	NaN	299.9478	NaN	0.6251221	1.5
22623	301.7462	NaN	302.4824	NaN	0.7362366	2.5
22831	304.3371	304.7536	304.9729	0.4165039	0.6358032	1.5
23040	306.7171	307.09	307.4201	0.3729248	0.7029724	2.5
23253	309.3091	309.9623	309.9806	0.6531982	0.6714478	1.5
23428	311.8333	312.1897	312.5698	0.3564148	0.7365417	1.5
23616	314.3698	314.732	315.0822	0.3621826	0.7124329	1.5
23782	316.9265	317.2502	317.6556	0.3236694	0.7291565	1.5
23991	319.3719	319.7452	320.1075	0.3733215	0.7356873	2.5
24202	321.9964	322.3412	322.6556	0.3448181	0.6592102	1.5
24410	324.3765	NaN	325.0904	NaN	0.7138672	2.5
24607	327.0328	327.3377	327.7067	0.3049011	0.6739197	1.5
24778	329.6035	329.8989	330.2734	0.2954102	0.6698914	2
24972	332.1166	NaN	332.7975	NaN	0.6808777	2
25140	334.7753	335.1132	335.468	0.3378906	0.692688	2.5
25339	337.3111	NaN	337.9249	NaN	0.6138611	2
25526	339.8022	340.5335	340.6277	0.7313538	0.8255005	2.5
25737	342.4942	NaN	343.3226	NaN	0.8283997	2
25906	345.1299	345.5007	345.8776	0.3707886	0.7476196	1.5
26107	347.6657	347.9792	348.3615	0.3134766	0.6958008	1.5
26318	350.2133	350.8325	351.0411	0.6191406	0.8277588	2
26471	352.8705	353.2353	353.4734	0.3647766	0.6029358	1.5
26644	355.6082	355.9655	356.2105	0.3573303	0.6022949	1.5
26791	358.0541	358.4242	358.7463	0.3700867	0.6921387	2.5
26988	360.9695	361.548	361.8126	0.5784912	0.8430481	2
27195	363.8434	NaN	364.509	NaN	0.6655884	1.5
27391	366.2961	366.6738	366.8744	0.3776245	0.5782471	2
27596	368.7887	369.1828	369.5132	0.394165	0.7244873	2
