4/15/2019 5:46:54 PM	The file contains time data of each successful point movement 
The time is using Unity real time.
-------------------------------------------------
FrameNumber	StartTime	GazeTime	AimTime	GazeDuration	AimDuration	DistanceToOrigin
5954	79.57743	80.27874	80.31388	0.7013092	0.7364502	2
6214	82.86927	83.36452	83.46767	0.4952469	0.5983963	2
6436	85.47498	NaN	86.12222	NaN	0.6472473	2.5
6662	88.21021	NaN	88.76991	NaN	0.5597076	2.5
6925	90.89529	91.56651	91.93011	0.6712112	1.034813	1
7366	93.91993	96.95819	97.49274	3.038261	3.572807	2
7599	99.43042	99.87813	100.2625	0.4477081	0.8321228	1
7840	102.0951	102.8569	103.1833	0.7617722	1.088188	2.5
8024	105.1444	105.5626	105.9031	0.41819	0.7586975	1.5
8250	107.8144	108.3309	108.5615	0.5164566	0.7471237	2
8466	110.3949	110.7082	111.0637	0.3133163	0.6688004	1
8622	112.9848	113.8576	114.3255	0.8727951	1.340698	2
8823	116.1466	NaN	116.7385	NaN	0.5918808	2
9079	118.8044	119.4098	119.7685	0.6054611	0.964119	2
9365	121.6645	122.5166	123.1831	0.8521423	1.518631	2
9623	125.3283	125.7883	126.2224	0.4600677	0.8941498	2
9842	128.2099	128.6468	128.802	0.4368744	0.5920715	2
10071	130.7788	131.172	131.516	0.3932037	0.7371826	1.5
10302	133.3257	NaN	134.2872	NaN	0.9615326	2.5
10593	136.3297	137.3291	137.8485	0.9993744	1.518845	2.5
10793	139.7823	NaN	140.5637	NaN	0.7813416	1.5
11080	143.002	NaN	144.0148	NaN	1.012817	2.5
11307	145.9934	146.3535	146.7339	0.3600616	0.7405396	1.5
11539	148.7815	149.1567	149.5223	0.3751984	0.7407532	2
11723	151.4445	NaN	152.065	NaN	0.6204987	2.5
11945	154.1139	154.4283	154.6597	0.3143768	0.5457916	1
12169	156.8477	157.1431	157.3215	0.2954102	0.4737854	1
12386	159.231	159.5566	159.8761	0.3256226	0.6451111	2
12578	161.7983	162.1867	162.5356	0.3883972	0.7372742	1.5
12788	164.3454	164.9335	165.0379	0.5881042	0.6925049	2.5
13012	166.9706	167.3301	167.6867	0.3595276	0.7161102	1.5
13232	169.5396	NaN	170.2973	NaN	0.7577362	2
13455	172.1949	172.8605	173.0808	0.6655579	0.885849	2
13670	174.9602	175.3661	175.6708	0.4058838	0.7106018	1.5
13851	177.5626	177.9389	178.252	0.3763428	0.6893768	2
14043	180.1583	NaN	180.6675	NaN	0.5092621	1.5
14259	182.5295	182.8989	183.2666	0.3694611	0.7371521	1.5
14478	185.1425	185.5455	185.8462	0.4030151	0.7036743	1
14669	187.6685	188.0502	188.4493	0.3817749	0.7808228	2.5
14897	190.4256	190.8069	191.2086	0.3813019	0.7829285	2.5
15130	193.187	NaN	193.962	NaN	0.7749939	1
15372	195.8908	196.4473	196.8486	0.556427	0.9578094	2
15560	198.8039	NaN	199.6188	NaN	0.8148193	2.5
15776	201.6526	202.0227	202.3662	0.3700867	0.713623	1
15952	204.2331	204.8134	204.847	0.5802765	0.6138306	1.5
16167	206.7776	207.1513	207.4598	0.3736877	0.6822205	1
16372	209.2805	209.6432	209.9293	0.3626709	0.6487732	1.5
16626	212.2081	212.6111	212.9331	0.4030609	0.7250214	2
16846	214.8765	215.2467	215.5365	0.370224	0.6599884	1
17066	217.468	217.8415	218.1384	0.3734589	0.6704254	1.5
17259	219.9814	220.2856	220.453	0.304184	0.4716034	1
17542	222.3746	223.378	223.7915	1.003418	1.416916	1.5
17783	225.6681	226.2527	226.6828	0.5845795	1.014633	2.5
18019	228.6825	229.1532	229.4651	0.4707031	0.7826385	2.5
18257	231.5199	231.8917	232.2695	0.3717804	0.749588	1.5
18491	234.2345	234.6624	235.0726	0.4278259	0.8380127	2.5
18760	236.9707	NaN	238.2996	NaN	1.328903	2.5
18955	240.2106	241.0185	241.5269	0.8078613	1.316315	2
19217	243.5385	244.2249	244.6895	0.6864166	1.15094	1.5
19473	246.7013	247.1041	247.7157	0.4028625	1.014465	2.5
19693	249.7165	250.0184	250.3519	0.3019714	0.635376	1
19911	252.434	NaN	253.2005	NaN	0.7664948	2.5
