4/15/2019 5:10:22 PM	The file contains time data of each successful point movement 
The time is using Unity real time.
-------------------------------------------------
FrameNumber	StartTime	GazeTime	AimTime	GazeDuration	AimDuration	DistanceToOrigin
4486	65.18726	66.12553	68.02292	0.9382706	2.835655	1
4979	70.02316	71.4649	74.57124	1.441742	4.548073	1.5
5248	76.60255	77.22767	77.80813	0.6251144	1.205574	1.5
5532	79.908	80.68201	81.16371	0.7740173	1.255714	1
5721	83.11469	83.46946	84.01804	0.3547745	0.9033508	1.5
6018	86.07292	87.08206	87.56952	1.00914	1.496597	1.5
6249	89.62626	90.49562	90.71135	0.8693619	1.085091	1
6471	92.68747	93.02751	93.37807	0.3400421	0.6905975	1.5
6667	95.44802	95.83745	96.2075	0.3894272	0.7594757	1
6946	98.18866	NaN	99.52317	NaN	1.334511	1.5
7184	101.5362	102.1015	102.5261	0.5653076	0.9899139	1.5
7416	104.4971	104.944	105.3461	0.4468689	0.8489914	1
7640	107.2218	107.6631	108.0346	0.4413376	0.8127823	1
7826	109.849	NaN	110.7476	NaN	0.8986206	1.5
8049	112.8731	113.162	113.5518	0.2889175	0.6787338	1.5
8264	115.4505	115.7869	116.2048	0.3363953	0.7543411	1
8486	118.1199	118.6403	119.1699	0.5204391	1.049965	1.5
8675	121.092	121.5174	121.8951	0.4254227	0.8031693	1
8855	123.7718	124.1076	124.5375	0.3357773	0.7657013	1.5
9131	126.5891	127.4818	127.9496	0.892662	1.36042	1.5
9343	129.849	130.1855	130.5961	0.3365173	0.7470703	1
9548	132.4986	132.8135	133.1927	0.3148499	0.694046	1
9767	135.134	135.8273	136.2704	0.6933289	1.136475	1.5
9939	138.252	138.5699	138.929	0.3179169	0.6770477	1
10178	140.7949	141.2445	141.7778	0.4496307	0.9828949	1.5
10369	143.7802	144.0803	144.6592	0.3000488	0.8789978	1
10584	146.5804	147.0083	147.5429	0.4278412	0.9624634	1
10842	149.4797	150.3073	150.7888	0.8275299	1.309113	1
11095	152.6692	153.5959	154.1109	0.9267426	1.441711	1
11308	156.0418	156.3722	156.8959	0.3304443	0.8541565	1.5
11576	158.8197	159.9189	160.3086	1.099213	1.488922	1.5
11768	162.2985	162.6498	163.1574	0.3513489	0.858902	1.5
12002	165.4482	166.1764	166.5648	0.7282562	1.116638	1
12173	169.5323	170.1499	170.5626	0.6176453	1.030334	1.5
12302	172.7598	173.1028	173.5603	0.3430328	0.8005676	1
12394	175.4403	175.7689	176.1028	0.3285217	0.6624298	1.5
12571	178.0119	178.5172	178.6284	0.5052948	0.6165314	1
12756	180.4915	180.9517	181.2607	0.4601746	0.7691956	1
12966	183.14	183.4653	183.8562	0.3253937	0.7162933	1
13134	185.6893	186.052	186.3773	0.3627167	0.6879883	1.5
13304	188.246	188.5233	188.8628	0.277298	0.6168365	1.5
13443	190.7257	191.0484	191.3616	0.3226624	0.635849	1
13633	193.159	193.4071	193.719	0.2481689	0.5600433	1
13829	195.5185	195.8577	196.223	0.3391571	0.7044678	1.5
14026	198.0225	198.3264	198.7111	0.3039398	0.6886444	1.5
14224	200.5332	200.8434	201.1814	0.3101501	0.6481323	1
14457	203.3112	203.6507	204.051	0.339447	0.7397614	1
14637	205.8653	206.3719	206.7307	0.506546	0.8654175	1.5
14814	208.5509	208.8596	209.2987	0.3087158	0.747757	1
15031	211.1987	211.5132	211.9736	0.3145142	0.7748871	1.5
15187	213.8795	214.2986	214.6982	0.4191132	0.8187408	1.5
15361	216.5801	216.935	217.3306	0.3549805	0.7505646	1
15542	219.1751	219.6955	220.0688	0.5204315	0.8937378	1
15782	222.2756	222.3299	224.359	0.05427551	2.083374	1.5
16002	226.255	226.586	226.9698	0.3309937	0.7148285	1.5
16221	228.8138	229.1403	229.6515	0.3265076	0.8377228	1
16429	231.4603	231.7611	232.2027	0.300766	0.7424011	1.5
16648	234.1203	234.5195	234.9344	0.3992767	0.8140869	1.5
16865	236.7229	236.9992	237.4916	0.2763367	0.7686615	1
17068	239.3489	239.6496	240.0374	0.3007355	0.6885223	1
17277	241.8029	242.2319	242.6305	0.4289398	0.8275757	1.5
17531	244.4845	245.3404	245.6478	0.8559265	1.163269	1
17709	247.5471	247.8044	248.143	0.2573395	0.5959015	1
17988	249.9629	250.9198	251.4736	0.9568634	1.510635	1.5
18176	253.2866	253.5614	253.8559	0.2748108	0.5693207	1
18326	255.6539	256.0041	256.3146	0.350174	0.6606903	1.5
18499	258.113	258.6084	258.7728	0.4954529	0.6598511	1
18683	260.468	260.8164	261.094	0.3483887	0.6259766	1
18890	262.8583	NaN	263.5281	NaN	0.6697998	1
19067	265.4625	NaN	266.1326	NaN	0.670166	1
19261	268.0195	268.4791	268.8474	0.4595337	0.8279114	1.5
19437	270.7005	271.0103	271.3642	0.3098145	0.6636963	1
19709	273.2815	274.435	275.0558	1.153503	1.774353	1
19886	276.9659	NaN	277.603	NaN	0.6370544	1.5
20134	279.7603	280.2327	280.6613	0.4724426	0.9010315	1
20348	282.4515	NaN	283.2549	NaN	0.8034363	1.5
20566	285.1193	NaN	285.914	NaN	0.7947083	1
20788	287.7124	288.0446	288.571	0.3321533	0.8586426	1.5
21014	290.4727	290.8005	291.3433	0.3278198	0.8706055	1.5
21303	293.1271	294.0851	294.8384	0.9579468	1.711273	1.5
21495	296.6933	297.0111	297.5763	0.3177795	0.8829956	1.5
21681	299.528	299.8369	300.2992	0.3089294	0.7712402	1
