4/15/2019 6:35:53 PM	The file contains time data of each successful point movement 
The time is using Unity real time.
-------------------------------------------------
FrameNumber	StartTime	GazeTime	AimTime	GazeDuration	AimDuration	DistanceToOrigin
4852	70.40632	73.47849	75.05195	3.072174	4.64563	2.5
5151	78.04477	78.41458	78.87153	0.369812	0.8267593	2
5410	81.09511	81.44346	81.88742	0.3483505	0.7923126	1
5616	83.63058	NaN	84.31275	NaN	0.6821747	1
5835	86.04388	86.42863	86.81446	0.384758	0.7705841	2
6068	88.76811	NaN	89.47213	NaN	0.7040176	2.5
6295	91.40474	91.68619	92.15314	0.2814484	0.7483978	1.5
6501	93.91167	94.18767	94.52683	0.2759933	0.6151581	1
6722	96.29683	96.92291	97.11218	0.6260834	0.8153534	1
6932	98.83316	99.18114	99.56918	0.3479843	0.7360153	2
7157	101.4797	101.8323	102.2395	0.3525925	0.7598038	2.5
7381	104.108	NaN	104.9208	NaN	0.8127823	2.5
7598	106.8616	107.1569	107.5229	0.2952881	0.661293	1.5
7808	109.3341	109.6489	110.0143	0.3148422	0.6802444	1
8014	111.7755	112.1095	112.4601	0.3339844	0.6845322	1
8237	114.2392	114.5936	115.0165	0.3544312	0.7772827	1.5
8452	116.7945	117.0878	117.5082	0.2932968	0.7137375	1.5
8661	119.2969	119.61	119.932	0.3130951	0.6351013	1
8862	121.6602	122.0159	122.3291	0.3556366	0.6688309	2
9066	124.1687	124.5051	124.7646	0.336441	0.5958939	1.5
9284	126.5891	126.9043	127.3152	0.3152008	0.7261429	2.5
9501	129.1699	129.5489	129.9185	0.3789215	0.7485199	2.5
9711	131.7153	NaN	132.41	NaN	0.6947021	2
9913	134.208	134.4751	134.8108	0.2671509	0.6028442	1.5
10107	136.5868	136.9651	137.2131	0.3783112	0.6263428	2.5
10326	139.1176	139.4576	139.793	0.33992	0.6753082	2
10544	141.6249	142.0072	142.361	0.3822784	0.7360992	2.5
10749	144.2044	144.5321	144.8524	0.3276672	0.6479492	2
10956	146.7199	147.0133	147.2763	0.2934265	0.556366	1
11151	149.0551	149.3333	149.5627	0.2782135	0.5076904	1
11354	151.3327	151.6262	151.9132	0.2935028	0.5804749	1.5
11557	153.5993	NaN	154.235	NaN	0.6357269	2.5
11772	156.0668	156.4484	156.7477	0.3815613	0.6809082	1.5
11979	158.4907	158.8377	159.1044	0.3470154	0.6137543	1
12159	160.78	161.1842	161.6068	0.4041748	0.826767	2.5
12370	163.4059	163.7634	164.0651	0.3574524	0.6592407	1.5
12565	165.8293	166.2554	166.2763	0.4260864	0.4469452	1
12739	168.1156	NaN	168.7001	NaN	0.5844421	2.5
12950	170.6547	NaN	171.1476	NaN	0.4928131	1.5
13209	173.4138	NaN	174.1506	NaN	0.7368622	2.5
13424	175.9404	176.33	176.6415	0.3896332	0.7011566	2
13615	178.4183	178.6993	178.9318	0.2809753	0.5135193	1
13788	180.6203	NaN	181.3772	NaN	0.7569733	2.5
