4/15/2019 5:40:56 PM	The file contains time data of each successful point movement 
The time is using Unity real time.
-------------------------------------------------
FrameNumber	StartTime	GazeTime	AimTime	GazeDuration	AimDuration	DistanceToOrigin
7724	101.5675	102.3505	102.8813	0.7829742	1.313812	2
7964	104.7936	105.3786	105.8111	0.5850296	1.017548	1
8206	107.6774	108.2912	108.736	0.6137924	1.05867	2
8447	110.5917	111.1279	111.6077	0.5362473	1.016006	2.5
8669	113.5625	113.9432	114.3341	0.3806915	0.7715683	1.5
8836	116.1091	116.1218	116.78	0.01274109	0.6709137	1
9074	118.6221	NaN	119.6604	NaN	1.038292	2
9503	121.5596	124.287	124.8282	2.727379	3.268524	1.5
9800	127.2443	127.9179	128.3398	0.6735458	1.095467	2
10049	130.2952	130.9206	131.3048	0.6253357	1.009567	1.5
10294	133.3661	133.7015	134.2281	0.3353577	0.8620453	1.5
10558	136.3042	136.8866	137.3435	0.5823822	1.039276	2
10783	139.1967	139.5548	140.0568	0.3581696	0.8601685	1
11006	141.8689	142.2463	142.7615	0.3774261	0.8926392	2
11266	145.0279	145.3989	145.8647	0.3710632	0.836792	1.5
11557	147.6982	148.8926	149.5288	1.194382	1.830551	1
11769	151.5176	152.0534	152.4357	0.5357666	0.9181213	1.5
12107	154.31	156.5241	157.0718	2.214035	2.761719	2.5
12372	159.395	159.7528	160.2855	0.3578491	0.8905182	2.5
12661	162.6779	163.3249	163.7049	0.6469116	1.026962	2
12899	165.6181	165.994	166.5651	0.3759308	0.9469604	2.5
13104	168.4743	169.0685	169.4445	0.594223	0.9702911	2.5
13381	171.7362	172.3842	172.8401	0.6480255	1.103867	2.5
13613	174.774	175.3109	175.7237	0.5368805	0.9497223	1
13835	177.5433	177.9265	178.4368	0.3831635	0.8934479	1
14059	180.1459	180.6718	181.1613	0.5259247	1.015457	2.5
14311	183.1504	183.7444	184.156	0.5939941	1.005554	2
14506	185.9423	NaN	186.4814	NaN	0.5391083	1
14688	188.4226	NaN	189.0819	NaN	0.6593018	2
14914	191.0521	191.3556	191.8779	0.3034821	0.8257751	1
15092	193.708	194.2785	194.503	0.5705261	0.7950134	1.5
15325	196.308	196.9483	197.3153	0.6403503	1.007339	1.5
15547	199.1304	NaN	199.9825	NaN	0.8520508	2
15772	201.8393	202.2748	202.6527	0.4355164	0.8134613	2.5
15994	204.8882	204.8982	205.4458	0.009994507	0.5575867	1
16188	207.2315	207.8487	208.2828	0.617218	1.051346	2
16341	210.2161	210.6634	211.0294	0.4473267	0.8133392	1
16514	212.9862	213.4343	213.6664	0.4480743	0.6802063	1
16729	215.3873	215.8564	216.2461	0.4690552	0.8587494	2.5
16983	218.6388	219.0411	219.3962	0.4022827	0.7574158	1
17156	221.1947	NaN	222.3687	NaN	1.174057	2.5
17373	224.5016	224.8545	225.3496	0.35289	0.8480377	2
17604	227.1931	227.733	228.0871	0.5399017	0.8939362	1
17834	229.8908	230.3784	230.8569	0.4875946	0.9660645	2
18052	232.9139	233.1499	233.5618	0.2360535	0.6478882	1
18240	235.3251	235.7503	236.2188	0.4252167	0.8937225	2.5
18409	238.0525	NaN	239.1259	NaN	1.07338	2
18620	240.9337	NaN	241.7624	NaN	0.8287048	2
18850	243.6139	NaN	244.5182	NaN	0.9043274	1
19035	246.3399	246.7372	247.153	0.3972626	0.8131256	2
19310	249.0078	NaN	250.4264	NaN	1.418549	2.5
19463	252.393	252.8223	253.2197	0.4292603	0.8266602	1
19661	254.9952	255.3501	255.8027	0.3548431	0.8074188	2
19916	257.7878	258.4497	258.8466	0.6619873	1.058807	2
20165	260.7945	261.4536	261.8546	0.6591797	1.06012	2.5
20419	263.753	264.3693	264.8704	0.616333	1.117401	1
20682	266.691	267.5179	268.0078	0.8268433	1.316742	2
20915	269.904	270.3777	270.7777	0.4736328	0.8736877	1.5
21142	272.7066	273.1013	273.503	0.3946838	0.7964478	1.5
21360	275.3474	NaN	276.265	NaN	0.9176331	2.5
21594	278.1059	278.6542	279.0764	0.5483398	0.9705811	2
21816	280.8981	281.2339	281.78	0.3357849	0.8819275	2
22064	283.602	NaN	284.6736	NaN	1.071564	1.5
22290	286.5401	NaN	287.6667	NaN	1.126617	2.5
22513	289.5469	289.8933	290.5052	0.346405	0.958252	1.5
22747	292.3375	NaN	293.2882	NaN	0.9506836	1.5
22956	295.1175	295.7438	296.2005	0.6263733	1.083008	2.5
23183	298.1008	NaN	299.0047	NaN	0.9038391	1
23486	300.8214	NaN	302.645	NaN	1.823669	1.5
