FrameNumber	sampleIdx	uTime	plConfidence	plTimestamp	plGiwVector_X	plGiwVector_Y	plGiwVector_Z	plEihVector0_X	plEihVector0_Y	plEihVector0_Z	plEihVector1_X	plEihVector1_Y	plEihVector1_Z	plEyeCenter0_X	plEyeCenter0_Y	plEyeCenter0_Z	plEyeCenter1_X	plEyeCenter1_Y	plEyeCenter1_Z	mode	
29324	1	252476.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29325	1	252483.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29326	1	252489.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29327	1	252496.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29328	1	252504.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29329	1	252510.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29330	1	252517.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29331	1	252524.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29332	1	252532.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29333	1	252539.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29334	1	252546.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29335	1	252553.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29336	1	252560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29337	1	252567.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29338	1	252574.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29339	1	252582.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29340	1	252589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29341	1	252595.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29342	1	252602.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29343	1	252610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29344	1	252617.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
29345	1	252623.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
