FrameNumber	sampleIdx	uTime	plConfidence	plTimestamp	plGiwVector_X	plGiwVector_Y	plGiwVector_Z	plEihVector0_X	plEihVector0_Y	plEihVector0_Z	plEihVector1_X	plEihVector1_Y	plEihVector1_Z	plEyeCenter0_X	plEyeCenter0_Y	plEyeCenter0_Z	plEyeCenter1_X	plEyeCenter1_Y	plEyeCenter1_Z	mode	
52878	134	640275.8	0.8925916	636.6	0.03557526	0.5089014	6.596678	0.0006587747	-0.05105549	0.9986956	0.0100704	-0.1026131	0.9946704	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52879	134	640286.4	0.8925916	636.6	0.03557526	0.5089014	6.596678	0.0006587747	-0.05105549	0.9986956	0.0100704	-0.1026131	0.9946704	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52880	134	640297.6	0.8925916	636.6	0.03557526	0.5089014	6.596678	0.0006587747	-0.05105549	0.9986956	0.0100704	-0.1026131	0.9946704	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52881	134	640309.7	0.8638918	636.6293	0.03617555	0.5398887	6.970205	0.000732216	-0.05049553	0.998724	0.009593214	-0.1037931	0.9945527	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52882	134	640322.6	0.8638918	636.6293	0.03617555	0.5398887	6.970205	0.000732216	-0.05049553	0.998724	0.009593214	-0.1037931	0.9945527	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52883	134	640333.8	0.9666352	636.6545	0.03766147	0.4960459	6.436371	0.0009959816	-0.05055492	0.9987208	0.01064638	-0.1029584	0.9946287	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52884	134	640349.2	0.9666352	636.6545	0.03766147	0.4960459	6.436371	0.0009959816	-0.05055492	0.9987208	0.01064638	-0.1029584	0.9946287	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52885	134	640360.7	0.8797202	636.6797	0.04471574	0.4986206	6.482681	0.002071635	-0.05076475	0.9987085	0.01165677	-0.1024459	0.9946703	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52886	134	640369.4	0.8797202	636.6797	0.04471574	0.4986206	6.482681	0.002071635	-0.05076475	0.9987085	0.01165677	-0.1024459	0.9946703	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52887	134	640378.4	0.8797202	636.6797	0.04471574	0.4986206	6.482681	0.002071635	-0.05076475	0.9987085	0.01165677	-0.1024459	0.9946703	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52888	134	640388.4	0.8732222	636.705	0.0323873	0.4550277	5.735167	0.0001808142	-0.05164617	0.9986655	0.01104955	-0.1063466	0.9942677	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52889	134	640400.3	0.8732222	636.705	0.0323873	0.4550277	5.735167	0.0001808142	-0.05164617	0.9986655	0.01104955	-0.1063466	0.9942677	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52890	134	640423.3	0.8563905	636.7302	0.03898988	-0.03422862	-0.5002341	-0.01186637	-0.05036245	0.9986605	-0.1418885	-0.08688678	0.986062	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52891	134	640432.9	0.8563905	636.7302	0.03898988	-0.03422862	-0.5002341	-0.01186637	-0.05036245	0.9986605	-0.1418885	-0.08688678	0.986062	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52892	134	640443.3	0.3741632	636.7407	-0.06426729	0.06129614	0.7283962	-0.1317721	-0.08218237	0.9878675	NaN	NaN	NaN	32.94491	-0.6677526	-0.3830696	NaN	NaN	NaN	monocular_0	
52893	134	640454.7	0.3741632	636.7407	-0.06426729	0.06129614	0.7283962	-0.1317721	-0.08218237	0.9878675	NaN	NaN	NaN	32.94491	-0.6677526	-0.3830696	NaN	NaN	NaN	monocular_0	
52894	134	640473.8	0.9983481	636.7722	-0.6185891	0.1660847	2.242198	-0.2781087	-0.05544464	0.9589481	-0.2522583	-0.08666555	0.9637712	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52895	134	640493.7	0.9980704	636.8099	-1.82683	0.4288543	5.024905	-0.3457968	-0.06563351	0.9360111	-0.3352742	-0.09411916	0.9374075	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52896	134	640503.1	0.9980704	636.8099	-1.82683	0.4288543	5.024905	-0.3457968	-0.06563351	0.9360111	-0.3352742	-0.09411916	0.9374075	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52897	134	640512.8	0.8420298	636.8309	-1.261924	0.3045978	3.38638	-0.3557223	-0.07144592	0.9318568	-0.3400753	-0.09631395	0.9354531	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52898	134	640521.5	0.8222681	636.8394	-1.175513	0.2883632	3.162983	-0.3554266	-0.07221778	0.9319102	-0.338649	-0.09784387	0.9358116	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52899	134	640533.2	0.8222681	636.8394	-1.175513	0.2883632	3.162983	-0.3554266	-0.07221778	0.9319102	-0.338649	-0.09784387	0.9358116	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52900	134	640543.2	0.7813572	636.8688	-1.138323	0.2766494	3.057442	-0.3562837	-0.07197095	0.9316019	-0.3389202	-0.0967788	0.9358242	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52901	134	640555.4	0.7813572	636.8688	-1.138323	0.2766494	3.057442	-0.3562837	-0.07197095	0.9316019	-0.3389202	-0.0967788	0.9358242	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52902	134	640565.8	0.4213752	636.8751	-1.18809	0.3339922	3.019396	-0.3729137	-0.1018	0.9222646	NaN	NaN	NaN	32.94491	-0.6677526	-0.3830696	NaN	NaN	NaN	monocular_0	
52903	134	640576.8	0.799423	636.894	-1.070368	0.2591792	2.858745	-0.3586047	-0.07289468	0.930639	-0.3400387	-0.09605478	0.935493	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52904	134	640589.4	0.799423	636.894	-1.070368	0.2591792	2.858745	-0.3586047	-0.07289468	0.930639	-0.3400387	-0.09605478	0.935493	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52905	134	640599	0.7683527	636.9191	-1.075976	0.2609751	2.866089	-0.3593891	-0.07408676	0.9302422	-0.3408723	-0.09554014	0.9352423	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52906	134	640612.7	0.7683527	636.9191	-1.075976	0.2609751	2.866089	-0.3593891	-0.07408676	0.9302422	-0.3408723	-0.09554014	0.9352423	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52907	134	640623	0.7687799	636.9485	-1.156491	0.2829956	3.085007	-0.358251	-0.07318094	0.9307528	-0.3410875	-0.09774322	0.9349361	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52908	134	640631.8	0.7687799	636.9528	-1.092895	0.2634971	2.920628	-0.358251	-0.07318094	0.9307528	-0.3400646	-0.09496707	0.9355946	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52909	134	640645.2	0.7687799	636.9528	-1.092895	0.2634971	2.920628	-0.358251	-0.07318094	0.9307528	-0.3400646	-0.09496707	0.9355946	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
52910	134	640654.7	0.8529562	636.978	-1.06023	0.2579457	2.842332	-0.3575168	-0.07296171	0.9310523	-0.3388173	-0.09622949	0.9359181	32.94491	-0.6677526	-0.3830696	-32.80797	-0.03684284	0.09721439	binocular	
